'worldPose: x: 1.410138,y: 0.122634,theta: -0.010710, gridPosition: x: 0, y: 0'
'worldPose: x: 1.420538,y: 0.122516,theta: -0.011898, gridPosition: x: 0, y: 0'
'worldPose: x: 1.430957,y: 0.122382,theta: -0.013543, gridPosition: x: 0, y: 0'
'worldPose: x: 1.441372,y: 0.122228,theta: -0.015663, gridPosition: x: 0, y: 0'
'worldPose: x: 1.451977,y: 0.122051,theta: -0.017264, gridPosition: x: 0, y: 0'
'worldPose: x: 1.462205,y: 0.121867,theta: -0.018386, gridPosition: x: 0, y: 0'
'worldPose: x: 1.472612,y: 0.121664,theta: -0.020475, gridPosition: x: 0, y: 0'
'worldPose: x: 1.483018,y: 0.121433,theta: -0.023463, gridPosition: x: 0, y: 0'
'worldPose: x: 1.493441,y: 0.121172,theta: -0.025860, gridPosition: x: 0, y: 0'
'worldPose: x: 1.503860,y: 0.120894,theta: -0.027107, gridPosition: x: 0, y: 0'
'worldPose: x: 1.514266,y: 0.120604,theta: -0.028452, gridPosition: x: 0, y: 0'
'worldPose: x: 1.524684,y: 0.120295,theta: -0.030601, gridPosition: x: 0, y: 0'
'worldPose: x: 1.535089,y: 0.119962,theta: -0.032893, gridPosition: x: 0, y: 0'
'worldPose: x: 1.545510,y: 0.119608,theta: -0.034552, gridPosition: x: 0, y: 0'
'worldPose: x: 1.555912,y: 0.119238,theta: -0.036278, gridPosition: x: 0, y: 0'
'worldPose: x: 1.566325,y: 0.118845,theta: -0.038731, gridPosition: x: 0, y: 0'
'worldPose: x: 1.576727,y: 0.118426,theta: -0.041255, gridPosition: x: 0, y: 0'
'worldPose: x: 1.587141,y: 0.117985,theta: -0.042781, gridPosition: x: 0, y: 0'
'worldPose: x: 1.597541,y: 0.117533,theta: -0.043904, gridPosition: x: 0, y: 0'
'worldPose: x: 1.607949,y: 0.117064,theta: -0.045990, gridPosition: x: 0, y: 0'
'worldPose: x: 1.618354,y: 0.116568,theta: -0.048730, gridPosition: x: 0, y: 0'
'worldPose: x: 1.628762,y: 0.116047,theta: -0.050659, gridPosition: x: 0, y: 0'
'worldPose: x: 1.639155,y: 0.115514,theta: -0.051727, gridPosition: x: 0, y: 0'
'worldPose: x: 1.649564,y: 0.114964,theta: -0.053524, gridPosition: x: 0, y: 0'
