'worldPose: x: -12.248033,y: 289.795418,theta: 1.424558, gridPosition: x: 0, y: 0'
'worldPose: x: -12.248033,y: 289.795418,theta: 1.424558, gridPosition: x: 0, y: 0'
'worldPose: x: -12.246975,y: 289.806550,theta: 1.425489, gridPosition: x: 0, y: 0'
'worldPose: x: -12.246975,y: 289.806550,theta: 1.425489, gridPosition: x: 0, y: 0'
'worldPose: x: -12.246975,y: 289.806550,theta: 1.425489, gridPosition: x: 0, y: 0'
'worldPose: x: -12.246356,y: 289.815317,theta: 1.422847, gridPosition: x: 0, y: 0'
'worldPose: x: -12.246356,y: 289.815317,theta: 1.422847, gridPosition: x: 0, y: 0'
'worldPose: x: -12.245285,y: 289.823042,theta: 1.422726, gridPosition: x: 0, y: 0'
'worldPose: x: -12.245285,y: 289.823042,theta: 1.422726, gridPosition: x: 0, y: 0'
'worldPose: x: -12.245285,y: 289.823042,theta: 1.422726, gridPosition: x: 0, y: 0'
'worldPose: x: -12.245010,y: 289.832339,theta: 1.423417, gridPosition: x: 0, y: 0'
'worldPose: x: -12.245010,y: 289.832339,theta: 1.423417, gridPosition: x: 0, y: 0'
'worldPose: x: -12.243311,y: 289.843113,theta: 1.423732, gridPosition: x: 0, y: 0'
'worldPose: x: -12.243311,y: 289.843113,theta: 1.423732, gridPosition: x: 0, y: 0'
'worldPose: x: -12.243311,y: 289.843113,theta: 1.423732, gridPosition: x: 0, y: 0'
'worldPose: x: -12.242547,y: 289.854773,theta: 1.423187, gridPosition: x: 0, y: 0'
'worldPose: x: -12.242547,y: 289.854773,theta: 1.423187, gridPosition: x: 0, y: 0'
'worldPose: x: -12.242957,y: 289.864317,theta: 1.423480, gridPosition: x: 0, y: 0'
'worldPose: x: -12.242957,y: 289.864317,theta: 1.423480, gridPosition: x: 0, y: 0'
'worldPose: x: -12.242957,y: 289.864317,theta: 1.423480, gridPosition: x: 0, y: 0'
'worldPose: x: -12.240846,y: 289.887583,theta: 1.425711, gridPosition: x: 0, y: 0'
'worldPose: x: -12.240846,y: 289.887583,theta: 1.425711, gridPosition: x: 0, y: 0'
'worldPose: x: -12.240696,y: 289.899988,theta: 1.425756, gridPosition: x: 0, y: 0'
'worldPose: x: -12.240696,y: 289.899988,theta: 1.425756, gridPosition: x: 0, y: 0'
'worldPose: x: -12.240696,y: 289.899988,theta: 1.425756, gridPosition: x: 0, y: 0'
'worldPose: x: -12.238548,y: 289.911274,theta: 1.425227, gridPosition: x: 0, y: 0'
'worldPose: x: -12.238548,y: 289.911274,theta: 1.425227, gridPosition: x: 0, y: 0'
'worldPose: x: -12.237540,y: 289.921193,theta: 1.425346, gridPosition: x: 0, y: 0'
'worldPose: x: -12.237540,y: 289.921193,theta: 1.425346, gridPosition: x: 0, y: 0'
'worldPose: x: -12.237540,y: 289.921193,theta: 1.425346, gridPosition: x: 0, y: 0'
'worldPose: x: -12.237471,y: 289.932085,theta: 1.425436, gridPosition: x: 0, y: 0'
'worldPose: x: -12.237471,y: 289.932085,theta: 1.425436, gridPosition: x: 0, y: 0'
'worldPose: x: -12.235233,y: 289.945155,theta: 1.424579, gridPosition: x: 0, y: 0'
'worldPose: x: -12.235233,y: 289.945155,theta: 1.424579, gridPosition: x: 0, y: 0'
'worldPose: x: -12.235233,y: 289.945155,theta: 1.424579, gridPosition: x: 0, y: 0'
'worldPose: x: -12.234868,y: 289.954784,theta: 1.424596, gridPosition: x: 0, y: 0'
'worldPose: x: -12.234868,y: 289.954784,theta: 1.424596, gridPosition: x: 0, y: 0'
'worldPose: x: -12.233016,y: 289.964827,theta: 1.424439, gridPosition: x: 0, y: 0'
