'worldPose: x: 14.477714,y: 293.994053,theta: -1.757104, gridPosition: x: 0, y: 0'
'worldPose: x: 14.482063,y: 294.017195,theta: -1.756590, gridPosition: x: 0, y: 0'
'worldPose: x: 14.482063,y: 294.017195,theta: -1.756590, gridPosition: x: 0, y: 0'
'worldPose: x: 14.481149,y: 293.994095,theta: -1.756958, gridPosition: x: 0, y: 0'
'worldPose: x: 14.481149,y: 293.994095,theta: -1.756958, gridPosition: x: 0, y: 0'
'worldPose: x: 14.481149,y: 293.994095,theta: -1.756958, gridPosition: x: 0, y: 0'
'worldPose: x: 14.476948,y: 293.978643,theta: -1.756598, gridPosition: x: 0, y: 0'
'worldPose: x: 14.476948,y: 293.978643,theta: -1.756598, gridPosition: x: 0, y: 0'
'worldPose: x: 14.483029,y: 293.988242,theta: -1.757026, gridPosition: x: 0, y: 0'
'worldPose: x: 14.483029,y: 293.988242,theta: -1.757026, gridPosition: x: 0, y: 0'
'worldPose: x: 14.483029,y: 293.988242,theta: -1.757026, gridPosition: x: 0, y: 0'
'worldPose: x: 14.478547,y: 293.968031,theta: -1.756282, gridPosition: x: 0, y: 0'
'worldPose: x: 14.478547,y: 293.968031,theta: -1.756282, gridPosition: x: 0, y: 0'
'worldPose: x: 14.475808,y: 293.939223,theta: -1.756543, gridPosition: x: 0, y: 0'
'worldPose: x: 14.475808,y: 293.939223,theta: -1.756543, gridPosition: x: 0, y: 0'
'worldPose: x: 14.475808,y: 293.939223,theta: -1.756543, gridPosition: x: 0, y: 0'
'worldPose: x: 14.468931,y: 293.893209,theta: -1.754853, gridPosition: x: 0, y: 0'
'worldPose: x: 14.468931,y: 293.893209,theta: -1.754853, gridPosition: x: 0, y: 0'
'worldPose: x: 14.465962,y: 293.854771,theta: -1.754736, gridPosition: x: 0, y: 0'
'worldPose: x: 14.465962,y: 293.854771,theta: -1.754736, gridPosition: x: 0, y: 0'
'worldPose: x: 14.465962,y: 293.854771,theta: -1.754736, gridPosition: x: 0, y: 0'
'worldPose: x: 14.458965,y: 293.823130,theta: -1.753245, gridPosition: x: 0, y: 0'
'worldPose: x: 14.458965,y: 293.823130,theta: -1.753245, gridPosition: x: 0, y: 0'
'worldPose: x: 14.453036,y: 293.780811,theta: -1.752987, gridPosition: x: 0, y: 0'
'worldPose: x: 14.453036,y: 293.780811,theta: -1.752987, gridPosition: x: 0, y: 0'
'worldPose: x: 14.453036,y: 293.780811,theta: -1.752987, gridPosition: x: 0, y: 0'
'worldPose: x: 14.444180,y: 293.733268,theta: -1.754414, gridPosition: x: 0, y: 0'
'worldPose: x: 14.444180,y: 293.733268,theta: -1.754414, gridPosition: x: 0, y: 0'
'worldPose: x: 14.439387,y: 293.684669,theta: -1.754519, gridPosition: x: 0, y: 0'
'worldPose: x: 14.439387,y: 293.684669,theta: -1.754519, gridPosition: x: 0, y: 0'
'worldPose: x: 14.439387,y: 293.684669,theta: -1.754519, gridPosition: x: 0, y: 0'
'worldPose: x: 14.433637,y: 293.645623,theta: -1.752476, gridPosition: x: 0, y: 0'
'worldPose: x: 14.433637,y: 293.645623,theta: -1.752476, gridPosition: x: 0, y: 0'
'worldPose: x: 14.430796,y: 293.597254,theta: -1.751759, gridPosition: x: 0, y: 0'
'worldPose: x: 14.430796,y: 293.597254,theta: -1.751759, gridPosition: x: 0, y: 0'
'worldPose: x: 14.430796,y: 293.597254,theta: -1.751759, gridPosition: x: 0, y: 0'
'worldPose: x: 14.424931,y: 293.553273,theta: -1.751615, gridPosition: x: 0, y: 0'
'worldPose: x: 14.424931,y: 293.553273,theta: -1.751615, gridPosition: x: 0, y: 0'
'worldPose: x: 14.420633,y: 293.507747,theta: -1.751561, gridPosition: x: 0, y: 0'
'worldPose: x: 14.420633,y: 293.507747,theta: -1.751561, gridPosition: x: 0, y: 0'
'worldPose: x: 14.420633,y: 293.507747,theta: -1.751561, gridPosition: x: 0, y: 0'
'worldPose: x: 14.411895,y: 293.461850,theta: -1.751175, gridPosition: x: 0, y: 0'
'worldPose: x: 14.411895,y: 293.461850,theta: -1.751175, gridPosition: x: 0, y: 0'
'worldPose: x: 14.407515,y: 293.414175,theta: -1.750595, gridPosition: x: 0, y: 0'
'worldPose: x: 14.407515,y: 293.414175,theta: -1.750595, gridPosition: x: 0, y: 0'
'worldPose: x: 14.407515,y: 293.414175,theta: -1.750595, gridPosition: x: 0, y: 0'
'worldPose: x: 14.407620,y: 293.401306,theta: -1.747879, gridPosition: x: 0, y: 0'
'worldPose: x: 14.407620,y: 293.401306,theta: -1.747879, gridPosition: x: 0, y: 0'
'worldPose: x: 14.403695,y: 293.358882,theta: -1.746957, gridPosition: x: 0, y: 0'
'worldPose: x: 14.403695,y: 293.358882,theta: -1.746957, gridPosition: x: 0, y: 0'
'worldPose: x: 14.403695,y: 293.358882,theta: -1.746957, gridPosition: x: 0, y: 0'
'worldPose: x: 14.397811,y: 293.311538,theta: -1.750967, gridPosition: x: 0, y: 0'
'worldPose: x: 14.397811,y: 293.311538,theta: -1.750967, gridPosition: x: 0, y: 0'
'worldPose: x: 14.395737,y: 293.264644,theta: -1.750574, gridPosition: x: 0, y: 0'
'worldPose: x: 14.395737,y: 293.264644,theta: -1.750574, gridPosition: x: 0, y: 0'
'worldPose: x: 14.395737,y: 293.264644,theta: -1.750574, gridPosition: x: 0, y: 0'
'worldPose: x: 14.389118,y: 293.203928,theta: -1.747763, gridPosition: x: 0, y: 0'
'worldPose: x: 14.389118,y: 293.203928,theta: -1.747763, gridPosition: x: 0, y: 0'
'worldPose: x: 14.384636,y: 293.157254,theta: -1.747249, gridPosition: x: 0, y: 0'
'worldPose: x: 14.384636,y: 293.157254,theta: -1.747249, gridPosition: x: 0, y: 0'
'worldPose: x: 14.384636,y: 293.157254,theta: -1.747249, gridPosition: x: 0, y: 0'
'worldPose: x: 14.380140,y: 293.112059,theta: -1.744973, gridPosition: x: 0, y: 0'
'worldPose: x: 14.380140,y: 293.112059,theta: -1.744973, gridPosition: x: 0, y: 0'
'worldPose: x: 14.375795,y: 293.070446,theta: -1.744338, gridPosition: x: 0, y: 0'
'worldPose: x: 14.375795,y: 293.070446,theta: -1.744338, gridPosition: x: 0, y: 0'
'worldPose: x: 14.375795,y: 293.070446,theta: -1.744338, gridPosition: x: 0, y: 0'
'worldPose: x: 14.371404,y: 293.058348,theta: -1.744251, gridPosition: x: 0, y: 0'
'worldPose: x: 14.371404,y: 293.058348,theta: -1.744251, gridPosition: x: 0, y: 0'
'worldPose: x: 14.365012,y: 293.017102,theta: -1.743580, gridPosition: x: 0, y: 0'
'worldPose: x: 14.365012,y: 293.017102,theta: -1.743580, gridPosition: x: 0, y: 0'
'worldPose: x: 14.365012,y: 293.017102,theta: -1.743580, gridPosition: x: 0, y: 0'
'worldPose: x: 14.354929,y: 292.955862,theta: -1.745164, gridPosition: x: 0, y: 0'
'worldPose: x: 14.354929,y: 292.955862,theta: -1.745164, gridPosition: x: 0, y: 0'
'worldPose: x: 14.351421,y: 292.916626,theta: -1.745797, gridPosition: x: 0, y: 0'
'worldPose: x: 14.351421,y: 292.916626,theta: -1.745797, gridPosition: x: 0, y: 0'
'worldPose: x: 14.351421,y: 292.916626,theta: -1.745797, gridPosition: x: 0, y: 0'
'worldPose: x: 14.346438,y: 292.892712,theta: -1.744764, gridPosition: x: 0, y: 0'
'worldPose: x: 14.346438,y: 292.892712,theta: -1.744764, gridPosition: x: 0, y: 0'
'worldPose: x: 14.341917,y: 292.850071,theta: -1.744019, gridPosition: x: 0, y: 0'
'worldPose: x: 14.341917,y: 292.850071,theta: -1.744019, gridPosition: x: 0, y: 0'
'worldPose: x: 14.341917,y: 292.850071,theta: -1.744019, gridPosition: x: 0, y: 0'
'worldPose: x: 14.331882,y: 292.788669,theta: -1.744774, gridPosition: x: 0, y: 0'
'worldPose: x: 14.331882,y: 292.788669,theta: -1.744774, gridPosition: x: 0, y: 0'
'worldPose: x: 14.326517,y: 292.746074,theta: -1.744407, gridPosition: x: 0, y: 0'
'worldPose: x: 14.326517,y: 292.746074,theta: -1.744407, gridPosition: x: 0, y: 0'
'worldPose: x: 14.326517,y: 292.746074,theta: -1.744407, gridPosition: x: 0, y: 0'
'worldPose: x: 14.324171,y: 292.715942,theta: -1.741041, gridPosition: x: 0, y: 0'
'worldPose: x: 14.324171,y: 292.715942,theta: -1.741041, gridPosition: x: 0, y: 0'
'worldPose: x: 14.319227,y: 292.670731,theta: -1.740428, gridPosition: x: 0, y: 0'
'worldPose: x: 14.319227,y: 292.670731,theta: -1.740428, gridPosition: x: 0, y: 0'
