'worldPose: x: 1.350160,y: 0.321929,theta: -0.193205, gridPosition: x: 0, y: 0'
'worldPose: x: 1.358332,y: 0.320326,theta: -0.194160, gridPosition: x: 0, y: 0'
'worldPose: x: 1.373990,y: 0.317245,theta: -0.192927, gridPosition: x: 0, y: 0'
'worldPose: x: 1.384563,y: 0.315177,theta: -0.193305, gridPosition: x: 0, y: 0'
'worldPose: x: 1.392748,y: 0.313571,theta: -0.194403, gridPosition: x: 0, y: 0'
'worldPose: x: 1.402961,y: 0.311555,theta: -0.195215, gridPosition: x: 0, y: 0'
'worldPose: x: 1.415221,y: 0.309121,theta: -0.196278, gridPosition: x: 0, y: 0'
'worldPose: x: 1.425439,y: 0.307075,theta: -0.198711, gridPosition: x: 0, y: 0'
'worldPose: x: 1.435641,y: 0.304999,theta: -0.201944, gridPosition: x: 0, y: 0'
'worldPose: x: 1.443807,y: 0.303309,theta: -0.204955, gridPosition: x: 0, y: 0'
'worldPose: x: 1.456033,y: 0.300737,theta: -0.209155, gridPosition: x: 0, y: 0'
'worldPose: x: 1.466260,y: 0.298553,theta: -0.211051, gridPosition: x: 0, y: 0'
'worldPose: x: 1.476418,y: 0.296375,theta: -0.210738, gridPosition: x: 0, y: 0'
'worldPose: x: 1.486598,y: 0.294196,theta: -0.211018, gridPosition: x: 0, y: 0'
'worldPose: x: 1.496784,y: 0.292017,theta: -0.210091, gridPosition: x: 0, y: 0'
'worldPose: x: 1.506962,y: 0.289843,theta: -0.210807, gridPosition: x: 0, y: 0'
'worldPose: x: 1.517151,y: 0.287661,theta: -0.210469, gridPosition: x: 0, y: 0'
'worldPose: x: 1.527334,y: 0.285466,theta: -0.213611, gridPosition: x: 0, y: 0'
'worldPose: x: 1.537507,y: 0.283236,theta: -0.217364, gridPosition: x: 0, y: 0'
'worldPose: x: 1.545650,y: 0.281427,theta: -0.219297, gridPosition: x: 0, y: 0'
'worldPose: x: 1.557834,y: 0.278694,theta: -0.221621, gridPosition: x: 0, y: 0'
'worldPose: x: 1.565979,y: 0.276856,theta: -0.222070, gridPosition: x: 0, y: 0'
'worldPose: x: 1.578161,y: 0.274100,theta: -0.222945, gridPosition: x: 0, y: 0'
'worldPose: x: 1.588326,y: 0.271787,theta: -0.224347, gridPosition: x: 0, y: 0'
'worldPose: x: 1.598481,y: 0.269457,theta: -0.226184, gridPosition: x: 0, y: 0'
'worldPose: x: 1.606594,y: 0.267580,theta: -0.228155, gridPosition: x: 0, y: 0'
'worldPose: x: 1.618761,y: 0.264728,theta: -0.231840, gridPosition: x: 0, y: 0'
'worldPose: x: 1.628905,y: 0.262312,theta: -0.234849, gridPosition: x: 0, y: 0'
'worldPose: x: 1.639021,y: 0.259866,theta: -0.239522, gridPosition: x: 0, y: 0'
