'worldPose: x: -1.357100,y: 283.090873,theta: -1.655699, gridPosition: x: 0, y: 0'
'worldPose: x: -1.357100,y: 283.090873,theta: -1.655699, gridPosition: x: 0, y: 0'
'worldPose: x: -1.357585,y: 283.075016,theta: -1.654851, gridPosition: x: 0, y: 0'
'worldPose: x: -1.357585,y: 283.075016,theta: -1.654851, gridPosition: x: 0, y: 0'
'worldPose: x: -1.357585,y: 283.075016,theta: -1.654851, gridPosition: x: 0, y: 0'
'worldPose: x: -1.356154,y: 283.053677,theta: -1.655546, gridPosition: x: 0, y: 0'
'worldPose: x: -1.356154,y: 283.053677,theta: -1.655546, gridPosition: x: 0, y: 0'
'worldPose: x: -1.359494,y: 283.031716,theta: -1.654823, gridPosition: x: 0, y: 0'
'worldPose: x: -1.359494,y: 283.031716,theta: -1.654823, gridPosition: x: 0, y: 0'
'worldPose: x: -1.359494,y: 283.031716,theta: -1.654823, gridPosition: x: 0, y: 0'
'worldPose: x: -1.362141,y: 283.008988,theta: -1.654788, gridPosition: x: 0, y: 0'
'worldPose: x: -1.362141,y: 283.008988,theta: -1.654788, gridPosition: x: 0, y: 0'
'worldPose: x: -1.364121,y: 282.986194,theta: -1.654406, gridPosition: x: 0, y: 0'
'worldPose: x: -1.364121,y: 282.986194,theta: -1.654406, gridPosition: x: 0, y: 0'
'worldPose: x: -1.364121,y: 282.986194,theta: -1.654406, gridPosition: x: 0, y: 0'
'worldPose: x: -1.363463,y: 282.966590,theta: -1.654978, gridPosition: x: 0, y: 0'
'worldPose: x: -1.363463,y: 282.966590,theta: -1.654978, gridPosition: x: 0, y: 0'
'worldPose: x: -1.363933,y: 282.939406,theta: -1.654581, gridPosition: x: 0, y: 0'
'worldPose: x: -1.363933,y: 282.939406,theta: -1.654581, gridPosition: x: 0, y: 0'
'worldPose: x: -1.363933,y: 282.939406,theta: -1.654581, gridPosition: x: 0, y: 0'
'worldPose: x: -1.364494,y: 282.919904,theta: -1.654909, gridPosition: x: 0, y: 0'
'worldPose: x: -1.364494,y: 282.919904,theta: -1.654909, gridPosition: x: 0, y: 0'
'worldPose: x: -1.365652,y: 282.898920,theta: -1.654900, gridPosition: x: 0, y: 0'
'worldPose: x: -1.365652,y: 282.898920,theta: -1.654900, gridPosition: x: 0, y: 0'
'worldPose: x: -1.365652,y: 282.898920,theta: -1.654900, gridPosition: x: 0, y: 0'
'worldPose: x: -1.365041,y: 282.886774,theta: -1.654778, gridPosition: x: 0, y: 0'
'worldPose: x: -1.365041,y: 282.886774,theta: -1.654778, gridPosition: x: 0, y: 0'
'worldPose: x: -1.366362,y: 282.864874,theta: -1.654505, gridPosition: x: 0, y: 0'
'worldPose: x: -1.366362,y: 282.864874,theta: -1.654505, gridPosition: x: 0, y: 0'
'worldPose: x: -1.366362,y: 282.864874,theta: -1.654505, gridPosition: x: 0, y: 0'
'worldPose: x: -1.366795,y: 282.842855,theta: -1.654574, gridPosition: x: 0, y: 0'
'worldPose: x: -1.366795,y: 282.842855,theta: -1.654574, gridPosition: x: 0, y: 0'
'worldPose: x: -1.366187,y: 282.824325,theta: -1.655233, gridPosition: x: 0, y: 0'
'worldPose: x: -1.366187,y: 282.824325,theta: -1.655233, gridPosition: x: 0, y: 0'
'worldPose: x: -1.366187,y: 282.824325,theta: -1.655233, gridPosition: x: 0, y: 0'
'worldPose: x: -1.367536,y: 282.803307,theta: -1.654917, gridPosition: x: 0, y: 0'
'worldPose: x: -1.367536,y: 282.803307,theta: -1.654917, gridPosition: x: 0, y: 0'
'worldPose: x: -1.368160,y: 282.782642,theta: -1.655097, gridPosition: x: 0, y: 0'
'worldPose: x: -1.368160,y: 282.782642,theta: -1.655097, gridPosition: x: 0, y: 0'
'worldPose: x: -1.368160,y: 282.782642,theta: -1.655097, gridPosition: x: 0, y: 0'
