'worldPose: x: 1.560532,y: 0.140204,theta: 0.017348, gridPosition: x: 0, y: 0'
'worldPose: x: 1.576151,y: 0.140474,theta: 0.017260, gridPosition: x: 0, y: 0'
'worldPose: x: 1.588633,y: 0.140687,theta: 0.016842, gridPosition: x: 0, y: 0'
'worldPose: x: 1.607382,y: 0.140997,theta: 0.016340, gridPosition: x: 0, y: 0'
'worldPose: x: 1.619905,y: 0.141197,theta: 0.015815, gridPosition: x: 0, y: 0'
'worldPose: x: 1.635654,y: 0.141439,theta: 0.015187, gridPosition: x: 0, y: 0'
'worldPose: x: 1.654252,y: 0.141715,theta: 0.014597, gridPosition: x: 0, y: 0'
'worldPose: x: 1.669877,y: 0.141939,theta: 0.014010, gridPosition: x: 0, y: 0'
'worldPose: x: 1.685497,y: 0.142156,theta: 0.013916, gridPosition: x: 0, y: 0'
'worldPose: x: 1.701129,y: 0.142371,theta: 0.013594, gridPosition: x: 0, y: 0'
'worldPose: x: 1.716747,y: 0.142579,theta: 0.013145, gridPosition: x: 0, y: 0'
'worldPose: x: 1.738101,y: 0.145764,theta: 0.012855, gridPosition: x: 0, y: 0'
'worldPose: x: 1.763332,y: 0.150948,theta: 0.012242, gridPosition: x: 0, y: 0'
'worldPose: x: 1.778948,y: 0.151133,theta: 0.011741, gridPosition: x: 0, y: 0'
'worldPose: x: 1.794559,y: 0.151312,theta: 0.011211, gridPosition: x: 0, y: 0'
'worldPose: x: 1.810192,y: 0.151476,theta: 0.010155, gridPosition: x: 0, y: 0'
'worldPose: x: 1.825957,y: 0.151631,theta: 0.009693, gridPosition: x: 0, y: 0'
'worldPose: x: 1.841423,y: 0.151778,theta: 0.009389, gridPosition: x: 0, y: 0'
'worldPose: x: 1.857049,y: 0.151918,theta: 0.008695, gridPosition: x: 0, y: 0'
'worldPose: x: 1.872828,y: 0.152056,theta: 0.008855, gridPosition: x: 0, y: 0'
'worldPose: x: 1.888352,y: 0.152196,theta: 0.009049, gridPosition: x: 0, y: 0'
'worldPose: x: 1.903937,y: 0.152335,theta: 0.008767, gridPosition: x: 0, y: 0'
'worldPose: x: 1.919544,y: 0.152467,theta: 0.008284, gridPosition: x: 0, y: 0'
'worldPose: x: 1.932054,y: 0.152563,theta: 0.007254, gridPosition: x: 0, y: 0'
'worldPose: x: 1.950852,y: 0.152681,theta: 0.005679, gridPosition: x: 0, y: 0'
'worldPose: x: 1.966461,y: 0.152759,theta: 0.004710, gridPosition: x: 0, y: 0'
