'worldPose: x: 13.662320,y: -1.239320,theta: -0.110408, gridPosition: x: 0, y: 0'
'worldPose: x: 13.677851,y: -1.241057,theta: -0.111965, gridPosition: x: 0, y: 0'
'worldPose: x: 13.693375,y: -1.242816,theta: -0.113440, gridPosition: x: 0, y: 0'
'worldPose: x: 13.708898,y: -1.244605,theta: -0.115705, gridPosition: x: 0, y: 0'
'worldPose: x: 13.724410,y: -1.246434,theta: -0.118518, gridPosition: x: 0, y: 0'
'worldPose: x: 13.739934,y: -1.248306,theta: -0.120905, gridPosition: x: 0, y: 0'
'worldPose: x: 13.755526,y: -1.250215,theta: -0.122433, gridPosition: x: 0, y: 0'
'worldPose: x: 13.770949,y: -1.252125,theta: -0.123662, gridPosition: x: 0, y: 0'
'worldPose: x: 13.786428,y: -1.254065,theta: -0.125330, gridPosition: x: 0, y: 0'
'worldPose: x: 13.802355,y: -1.256090,theta: -0.127005, gridPosition: x: 0, y: 0'
'worldPose: x: 13.817441,y: -1.258029,theta: -0.128509, gridPosition: x: 0, y: 0'
'worldPose: x: 13.832939,y: -1.260053,theta: -0.130644, gridPosition: x: 0, y: 0'
'worldPose: x: 13.858423,y: -1.242110,theta: -0.132854, gridPosition: x: 0, y: 0'
'worldPose: x: 13.871825,y: -1.243916,theta: -0.134554, gridPosition: x: 0, y: 0'
'worldPose: x: 13.889391,y: -1.246317,theta: -0.136761, gridPosition: x: 0, y: 0'
'worldPose: x: 13.904863,y: -1.248460,theta: -0.138212, gridPosition: x: 0, y: 0'
'worldPose: x: 13.921145,y: -1.250741,theta: -0.139832, gridPosition: x: 0, y: 0'
'worldPose: x: 13.935814,y: -1.252826,theta: -0.142092, gridPosition: x: 0, y: 0'
'worldPose: x: 13.951279,y: -1.255058,theta: -0.144084, gridPosition: x: 0, y: 0'
'worldPose: x: 13.966739,y: -1.257320,theta: -0.146003, gridPosition: x: 0, y: 0'
'worldPose: x: 13.982195,y: -1.259612,theta: -0.148231, gridPosition: x: 0, y: 0'
'worldPose: x: 13.997642,y: -1.261940,theta: -0.150552, gridPosition: x: 0, y: 0'
'worldPose: x: 14.013093,y: -1.264305,theta: -0.152753, gridPosition: x: 0, y: 0'
'worldPose: x: 14.028527,y: -1.266698,theta: -0.154430, gridPosition: x: 0, y: 0'
'worldPose: x: 14.043962,y: -1.269115,theta: -0.155961, gridPosition: x: 0, y: 0'
'worldPose: x: 14.059400,y: -1.271561,theta: -0.157909, gridPosition: x: 0, y: 0'
'worldPose: x: 14.074821,y: -1.274034,theta: -0.159599, gridPosition: x: 0, y: 0'
'worldPose: x: 14.090247,y: -1.276531,theta: -0.161234, gridPosition: x: 0, y: 0'
'worldPose: x: 14.105677,y: -1.279063,theta: -0.163597, gridPosition: x: 0, y: 0'
'worldPose: x: 14.121092,y: -1.281629,theta: -0.165773, gridPosition: x: 0, y: 0'
'worldPose: x: 14.136546,y: -1.284228,theta: -0.167404, gridPosition: x: 0, y: 0'
'worldPose: x: 14.151909,y: -1.286846,theta: -0.169386, gridPosition: x: 0, y: 0'
'worldPose: x: 14.164214,y: -1.288966,theta: -0.170907, gridPosition: x: 0, y: 0'
'worldPose: x: 14.182692,y: -1.292174,theta: -0.172697, gridPosition: x: 0, y: 0'
'worldPose: x: 14.198068,y: -1.294875,theta: -0.174614, gridPosition: x: 0, y: 0'
'worldPose: x: 14.213612,y: -1.297637,theta: -0.176605, gridPosition: x: 0, y: 0'
'worldPose: x: 14.255771,y: -1.283835,theta: -0.179098, gridPosition: x: 0, y: 0'
'worldPose: x: 14.271144,y: -1.286644,theta: -0.181775, gridPosition: x: 0, y: 0'
'worldPose: x: 14.286525,y: -1.289493,theta: -0.183921, gridPosition: x: 0, y: 0'
'worldPose: x: 14.301862,y: -1.292365,theta: -0.185904, gridPosition: x: 0, y: 0'
'worldPose: x: 14.317227,y: -1.295271,theta: -0.187395, gridPosition: x: 0, y: 0'
'worldPose: x: 14.329501,y: -1.297604,theta: -0.188058, gridPosition: x: 0, y: 0'
'worldPose: x: 14.347918,y: -1.301124,theta: -0.189448, gridPosition: x: 0, y: 0'
'worldPose: x: 14.363256,y: -1.304081,theta: -0.191221, gridPosition: x: 0, y: 0'
'worldPose: x: 14.378612,y: -1.307076,theta: -0.193744, gridPosition: x: 0, y: 0'
'worldPose: x: 14.393972,y: -1.310119,theta: -0.196580, gridPosition: x: 0, y: 0'
'worldPose: x: 14.409251,y: -1.313185,theta: -0.198906, gridPosition: x: 0, y: 0'
'worldPose: x: 14.421521,y: -1.315672,theta: -0.200713, gridPosition: x: 0, y: 0'
'worldPose: x: 14.436801,y: -1.318803,theta: -0.202851, gridPosition: x: 0, y: 0'
'worldPose: x: 14.455160,y: -1.322589,theta: -0.203274, gridPosition: x: 0, y: 0'
'worldPose: x: 14.470498,y: -1.325743,theta: -0.202577, gridPosition: x: 0, y: 0'
