'worldPose: x: 25.643598,y: 5.724339,theta: 0.060677, gridPosition: x: 0, y: 0'
'worldPose: x: 25.666683,y: 5.734115,theta: 0.060679, gridPosition: x: 0, y: 0'
'worldPose: x: 25.682647,y: 5.735087,theta: 0.060974, gridPosition: x: 0, y: 0'
'worldPose: x: 25.699639,y: 5.736129,theta: 0.061349, gridPosition: x: 0, y: 0'
'worldPose: x: 25.715361,y: 5.737097,theta: 0.061615, gridPosition: x: 0, y: 0'
'worldPose: x: 25.730800,y: 5.738050,theta: 0.061678, gridPosition: x: 0, y: 0'
'worldPose: x: 25.747163,y: 5.739061,theta: 0.061712, gridPosition: x: 0, y: 0'
'worldPose: x: 25.763382,y: 5.740066,theta: 0.062008, gridPosition: x: 0, y: 0'
'worldPose: x: 25.778969,y: 5.741038,theta: 0.062544, gridPosition: x: 0, y: 0'
'worldPose: x: 25.794566,y: 5.742018,theta: 0.062742, gridPosition: x: 0, y: 0'
'worldPose: x: 25.810191,y: 5.742997,theta: 0.062460, gridPosition: x: 0, y: 0'
'worldPose: x: 25.825852,y: 5.743978,theta: 0.062758, gridPosition: x: 0, y: 0'
'worldPose: x: 25.838227,y: 5.744759,theta: 0.063131, gridPosition: x: 0, y: 0'
'worldPose: x: 25.856939,y: 5.745944,theta: 0.063249, gridPosition: x: 0, y: 0'
'worldPose: x: 25.869426,y: 5.746735,theta: 0.063298, gridPosition: x: 0, y: 0'
'worldPose: x: 25.888135,y: 5.747924,theta: 0.063535, gridPosition: x: 0, y: 0'
'worldPose: x: 25.897500,y: 5.748519,theta: 0.063354, gridPosition: x: 0, y: 0'
'worldPose: x: 25.919317,y: 5.749890,theta: 0.062164, gridPosition: x: 0, y: 0'
'worldPose: x: 25.934933,y: 5.750841,theta: 0.059677, gridPosition: x: 0, y: 0'
'worldPose: x: 25.950700,y: 5.751753,theta: 0.056836, gridPosition: x: 0, y: 0'
'worldPose: x: 25.966126,y: 5.752616,theta: 0.055426, gridPosition: x: 0, y: 0'
'worldPose: x: 25.981713,y: 5.753473,theta: 0.054610, gridPosition: x: 0, y: 0'
'worldPose: x: 25.997333,y: 5.754321,theta: 0.053961, gridPosition: x: 0, y: 0'
'worldPose: x: 26.012914,y: 5.755151,theta: 0.052561, gridPosition: x: 0, y: 0'
'worldPose: x: 26.050773,y: 5.766041,theta: 0.050439, gridPosition: x: 0, y: 0'
'worldPose: x: 26.066369,y: 5.766812,theta: 0.048948, gridPosition: x: 0, y: 0'
'worldPose: x: 26.081976,y: 5.767569,theta: 0.048148, gridPosition: x: 0, y: 0'
'worldPose: x: 26.097572,y: 5.768312,theta: 0.047172, gridPosition: x: 0, y: 0'
'worldPose: x: 26.113300,y: 5.769044,theta: 0.046046, gridPosition: x: 0, y: 0'
'worldPose: x: 26.128796,y: 5.769749,theta: 0.045013, gridPosition: x: 0, y: 0'
'worldPose: x: 26.144424,y: 5.770441,theta: 0.043661, gridPosition: x: 0, y: 0'
'worldPose: x: 26.160020,y: 5.771105,theta: 0.041850, gridPosition: x: 0, y: 0'
'worldPose: x: 26.175648,y: 5.771748,theta: 0.040891, gridPosition: x: 0, y: 0'
'worldPose: x: 26.191247,y: 5.772392,theta: 0.041600, gridPosition: x: 0, y: 0'
'worldPose: x: 26.206870,y: 5.773054,theta: 0.042900, gridPosition: x: 0, y: 0'
'worldPose: x: 26.222497,y: 5.773737,theta: 0.044149, gridPosition: x: 0, y: 0'
'worldPose: x: 26.238091,y: 5.774431,theta: 0.044563, gridPosition: x: 0, y: 0'
'worldPose: x: 26.253680,y: 5.775123,theta: 0.044196, gridPosition: x: 0, y: 0'
'worldPose: x: 26.269301,y: 5.775810,theta: 0.043715, gridPosition: x: 0, y: 0'
'worldPose: x: 26.284912,y: 5.776489,theta: 0.043379, gridPosition: x: 0, y: 0'
'worldPose: x: 26.300532,y: 5.777174,theta: 0.044336, gridPosition: x: 0, y: 0'
'worldPose: x: 26.316114,y: 5.777877,theta: 0.045408, gridPosition: x: 0, y: 0'
'worldPose: x: 26.331735,y: 5.778583,theta: 0.044889, gridPosition: x: 0, y: 0'
'worldPose: x: 26.347348,y: 5.779279,theta: 0.044393, gridPosition: x: 0, y: 0'
'worldPose: x: 26.362964,y: 5.779975,theta: 0.044693, gridPosition: x: 0, y: 0'
'worldPose: x: 26.378551,y: 5.780674,theta: 0.044870, gridPosition: x: 0, y: 0'
'worldPose: x: 26.394197,y: 5.781380,theta: 0.045368, gridPosition: x: 0, y: 0'
'worldPose: x: 26.409774,y: 5.782092,theta: 0.045779, gridPosition: x: 0, y: 0'
'worldPose: x: 26.425404,y: 5.782807,theta: 0.045699, gridPosition: x: 0, y: 0'
'worldPose: x: 26.440989,y: 5.783524,theta: 0.046221, gridPosition: x: 0, y: 0'
'worldPose: x: 26.456608,y: 5.784247,theta: 0.046001, gridPosition: x: 0, y: 0'
'worldPose: x: 26.472197,y: 5.784950,theta: 0.044372, gridPosition: x: 0, y: 0'
'worldPose: x: 26.487841,y: 5.785626,theta: 0.042379, gridPosition: x: 0, y: 0'
'worldPose: x: 26.503440,y: 5.786266,theta: 0.040109, gridPosition: x: 0, y: 0'
'worldPose: x: 26.519046,y: 5.786874,theta: 0.038307, gridPosition: x: 0, y: 0'
'worldPose: x: 26.534667,y: 5.787466,theta: 0.037758, gridPosition: x: 0, y: 0'
'worldPose: x: 26.550280,y: 5.788054,theta: 0.037472, gridPosition: x: 0, y: 0'
'worldPose: x: 26.565893,y: 5.788628,theta: 0.036025, gridPosition: x: 0, y: 0'
'worldPose: x: 26.581529,y: 5.789171,theta: 0.033854, gridPosition: x: 0, y: 0'
'worldPose: x: 26.597116,y: 5.789681,theta: 0.032081, gridPosition: x: 0, y: 0'
'worldPose: x: 26.612751,y: 5.790171,theta: 0.030812, gridPosition: x: 0, y: 0'
'worldPose: x: 26.628350,y: 5.790643,theta: 0.029993, gridPosition: x: 0, y: 0'
'worldPose: x: 26.643997,y: 5.791107,theta: 0.029338, gridPosition: x: 0, y: 0'
'worldPose: x: 26.659580,y: 5.791551,theta: 0.027807, gridPosition: x: 0, y: 0'
'worldPose: x: 26.675241,y: 5.791971,theta: 0.026191, gridPosition: x: 0, y: 0'
'worldPose: x: 26.690911,y: 5.792369,theta: 0.024900, gridPosition: x: 0, y: 0'
'worldPose: x: 26.706456,y: 5.792742,theta: 0.023385, gridPosition: x: 0, y: 0'
'worldPose: x: 26.722076,y: 5.793097,theta: 0.022302, gridPosition: x: 0, y: 0'
'worldPose: x: 26.737715,y: 5.793435,theta: 0.021010, gridPosition: x: 0, y: 0'
'worldPose: x: 26.750204,y: 5.793688,theta: 0.019854, gridPosition: x: 0, y: 0'
'worldPose: x: 26.768994,y: 5.794042,theta: 0.018270, gridPosition: x: 0, y: 0'
'worldPose: x: 26.784554,y: 5.794314,theta: 0.016888, gridPosition: x: 0, y: 0'
'worldPose: x: 26.800252,y: 5.794566,theta: 0.015576, gridPosition: x: 0, y: 0'
'worldPose: x: 26.812679,y: 5.794753,theta: 0.014699, gridPosition: x: 0, y: 0'
