'worldPose: x: 1.965586,y: 0.083033,theta: 0.262850, gridPosition: x: 0, y: 0'
'worldPose: x: 1.977638,y: 0.086350,theta: 0.272812, gridPosition: x: 0, y: 0'
'worldPose: x: 1.985986,y: 0.088732,theta: 0.281923, gridPosition: x: 0, y: 0'
'worldPose: x: 1.992947,y: 0.089390,theta: 0.293262, gridPosition: x: 0, y: 0'
'worldPose: x: 1.999585,y: 0.091418,theta: 0.298356, gridPosition: x: 0, y: 0'
'worldPose: x: 2.006223,y: 0.093471,theta: 0.300398, gridPosition: x: 0, y: 0'
'worldPose: x: 2.010531,y: 0.094803,theta: 0.299249, gridPosition: x: 0, y: 0'
'worldPose: x: 2.013852,y: 0.095822,theta: 0.296188, gridPosition: x: 0, y: 0'
'worldPose: x: 2.015512,y: 0.096324,theta: 0.291994, gridPosition: x: 0, y: 0'
'worldPose: x: 2.016180,y: 0.096523,theta: 0.290062, gridPosition: x: 0, y: 0'
'worldPose: x: 2.016180,y: 0.096523,theta: 0.290062, gridPosition: x: 0, y: 0'
'worldPose: x: 2.016180,y: 0.096523,theta: 0.290062, gridPosition: x: 0, y: 0'
'worldPose: x: 2.016180,y: 0.096523,theta: 0.290062, gridPosition: x: 0, y: 0'
'worldPose: x: 2.016180,y: 0.096523,theta: 0.290062, gridPosition: x: 0, y: 0'
'worldPose: x: 2.016180,y: 0.096523,theta: 0.290062, gridPosition: x: 0, y: 0'
'worldPose: x: 2.016180,y: 0.096523,theta: 0.290062, gridPosition: x: 0, y: 0'
'worldPose: x: 2.016180,y: 0.096523,theta: 0.290062, gridPosition: x: 0, y: 0'
'worldPose: x: 2.016512,y: 0.096623,theta: 0.290091, gridPosition: x: 0, y: 0'
'worldPose: x: 2.016845,y: 0.096722,theta: 0.289538, gridPosition: x: 0, y: 0'
'worldPose: x: 2.016845,y: 0.096722,theta: 0.289538, gridPosition: x: 0, y: 0'
'worldPose: x: 2.016845,y: 0.096722,theta: 0.289538, gridPosition: x: 0, y: 0'
'worldPose: x: 2.016845,y: 0.096722,theta: 0.289538, gridPosition: x: 0, y: 0'
