'worldPose: x: 0.528536,y: -0.717114,theta: -0.002297, gridPosition: x: 0, y: 0'
'worldPose: x: 0.533745,y: -0.717124,theta: -0.001845, gridPosition: x: 0, y: 0'
'worldPose: x: 0.539643,y: -0.717131,theta: -0.000819, gridPosition: x: 0, y: 0'
'worldPose: x: 0.545205,y: -0.717133,theta: -0.000235, gridPosition: x: 0, y: 0'
'worldPose: x: 0.552149,y: -0.717135,theta: -0.000191, gridPosition: x: 0, y: 0'
'worldPose: x: 0.559098,y: -0.717138,theta: -0.000946, gridPosition: x: 0, y: 0'
'worldPose: x: 0.566041,y: -0.717148,theta: -0.001814, gridPosition: x: 0, y: 0'
'worldPose: x: 0.572981,y: -0.717165,theta: -0.002892, gridPosition: x: 0, y: 0'
'worldPose: x: 0.578890,y: -0.717185,theta: -0.003489, gridPosition: x: 0, y: 0'
'worldPose: x: 0.585832,y: -0.717209,theta: -0.003519, gridPosition: x: 0, y: 0'
'worldPose: x: 0.591388,y: -0.717228,theta: -0.003250, gridPosition: x: 0, y: 0'
'worldPose: x: 0.596595,y: -0.717244,theta: -0.002739, gridPosition: x: 0, y: 0'
'worldPose: x: 0.601802,y: -0.717256,theta: -0.002132, gridPosition: x: 0, y: 0'
'worldPose: x: 0.607013,y: -0.717265,theta: -0.001712, gridPosition: x: 0, y: 0'
'worldPose: x: 0.612220,y: -0.717274,theta: -0.001759, gridPosition: x: 0, y: 0'
'worldPose: x: 0.617426,y: -0.717285,theta: -0.002435, gridPosition: x: 0, y: 0'
'worldPose: x: 0.622639,y: -0.717302,theta: -0.003593, gridPosition: x: 0, y: 0'
'worldPose: x: 0.627842,y: -0.717324,theta: -0.004442, gridPosition: x: 0, y: 0'
'worldPose: x: 0.632704,y: -0.717346,theta: -0.004717, gridPosition: x: 0, y: 0'
'worldPose: x: 0.637566,y: -0.717369,theta: -0.004406, gridPosition: x: 0, y: 0'
'worldPose: x: 0.642083,y: -0.717385,theta: -0.003443, gridPosition: x: 0, y: 0'
'worldPose: x: 0.647288,y: -0.717399,theta: -0.002159, gridPosition: x: 0, y: 0'
'worldPose: x: 0.652497,y: -0.717406,theta: -0.001016, gridPosition: x: 0, y: 0'
'worldPose: x: 0.657008,y: -0.717409,theta: -0.000464, gridPosition: x: 0, y: 0'
'worldPose: x: 0.662219,y: -0.717412,theta: -0.000779, gridPosition: x: 0, y: 0'
'worldPose: x: 0.667431,y: -0.717418,theta: -0.001364, gridPosition: x: 0, y: 0'
'worldPose: x: 0.671592,y: -0.717425,theta: -0.001648, gridPosition: x: 0, y: 0'
'worldPose: x: 0.677840,y: -0.717434,theta: -0.001421, gridPosition: x: 0, y: 0'
'worldPose: x: 0.683049,y: -0.717439,theta: -0.000496, gridPosition: x: 0, y: 0'
'worldPose: x: 0.688260,y: -0.717436,theta: 0.000925, gridPosition: x: 0, y: 0'
'worldPose: x: 0.692427,y: -0.717429,theta: 0.002156, gridPosition: x: 0, y: 0'
'worldPose: x: 0.698673,y: -0.717414,theta: 0.002345, gridPosition: x: 0, y: 0'
