'worldPose: x: -3.376484,y: -0.161177,theta: 0.046996, gridPosition: x: 0, y: 0'
'worldPose: x: -3.376484,y: -0.161177,theta: 0.046996, gridPosition: x: 0, y: 0'
'worldPose: x: -3.317922,y: -0.168463,theta: 0.047930, gridPosition: x: 0, y: 0'
'worldPose: x: -3.317922,y: -0.168463,theta: 0.047930, gridPosition: x: 0, y: 0'
'worldPose: x: -3.305440,y: -0.157819,theta: 0.047659, gridPosition: x: 0, y: 0'
'worldPose: x: -3.305440,y: -0.157819,theta: 0.047659, gridPosition: x: 0, y: 0'
'worldPose: x: -3.248046,y: -0.168931,theta: 0.046286, gridPosition: x: 0, y: 0'
'worldPose: x: -3.248046,y: -0.168931,theta: 0.046286, gridPosition: x: 0, y: 0'
'worldPose: x: -3.234473,y: -0.161777,theta: 0.047294, gridPosition: x: 0, y: 0'
'worldPose: x: -3.168480,y: -0.169564,theta: 0.048225, gridPosition: x: 0, y: 0'
'worldPose: x: -3.168480,y: -0.169564,theta: 0.048225, gridPosition: x: 0, y: 0'
'worldPose: x: -3.153151,y: -0.167401,theta: 0.046128, gridPosition: x: 0, y: 0'
'worldPose: x: -3.153151,y: -0.167401,theta: 0.046128, gridPosition: x: 0, y: 0'
'worldPose: x: -3.153151,y: -0.167401,theta: 0.046128, gridPosition: x: 0, y: 0'
'worldPose: x: -3.107832,y: -0.163613,theta: 0.041557, gridPosition: x: 0, y: 0'
'worldPose: x: -3.063609,y: -0.146101,theta: 0.049698, gridPosition: x: 0, y: 0'
'worldPose: x: -3.063609,y: -0.146101,theta: 0.049698, gridPosition: x: 0, y: 0'
'worldPose: x: -3.063609,y: -0.146101,theta: 0.049698, gridPosition: x: 0, y: 0'
'worldPose: x: -3.044679,y: -0.168502,theta: 0.043392, gridPosition: x: 0, y: 0'
'worldPose: x: -3.044679,y: -0.168502,theta: 0.043392, gridPosition: x: 0, y: 0'
'worldPose: x: -3.007554,y: -0.153678,theta: 0.046464, gridPosition: x: 0, y: 0'
'worldPose: x: -2.983527,y: -0.145081,theta: 0.047855, gridPosition: x: 0, y: 0'
'worldPose: x: -2.983527,y: -0.145081,theta: 0.047855, gridPosition: x: 0, y: 0'
'worldPose: x: -2.983527,y: -0.145081,theta: 0.047855, gridPosition: x: 0, y: 0'
'worldPose: x: -2.922832,y: -0.167617,theta: 0.043392, gridPosition: x: 0, y: 0'
'worldPose: x: -2.907638,y: -0.160940,theta: 0.045422, gridPosition: x: 0, y: 0'
'worldPose: x: -2.907638,y: -0.160940,theta: 0.045422, gridPosition: x: 0, y: 0'
'worldPose: x: -2.907638,y: -0.160940,theta: 0.045422, gridPosition: x: 0, y: 0'
'worldPose: x: -2.870141,y: -0.144290,theta: 0.039881, gridPosition: x: 0, y: 0'
'worldPose: x: -2.870141,y: -0.144290,theta: 0.039881, gridPosition: x: 0, y: 0'
'worldPose: x: -2.854342,y: -0.161660,theta: 0.046247, gridPosition: x: 0, y: 0'
'worldPose: x: -2.797970,y: -0.140700,theta: 0.041342, gridPosition: x: 0, y: 0'
'worldPose: x: -2.797970,y: -0.140700,theta: 0.041342, gridPosition: x: 0, y: 0'
