'worldPose: x: -1.316362,y: 282.934803,theta: -1.704248, gridPosition: x: 0, y: 0'
'worldPose: x: -1.316362,y: 282.934803,theta: -1.704248, gridPosition: x: 0, y: 0'
'worldPose: x: -1.318240,y: 282.925323,theta: -1.706566, gridPosition: x: 0, y: 0'
'worldPose: x: -1.318240,y: 282.925323,theta: -1.706566, gridPosition: x: 0, y: 0'
'worldPose: x: -1.318240,y: 282.925323,theta: -1.706566, gridPosition: x: 0, y: 0'
'worldPose: x: -1.318993,y: 282.914219,theta: -1.708938, gridPosition: x: 0, y: 0'
'worldPose: x: -1.318993,y: 282.914219,theta: -1.708938, gridPosition: x: 0, y: 0'
'worldPose: x: -1.321006,y: 282.904048,theta: -1.710296, gridPosition: x: 0, y: 0'
'worldPose: x: -1.321006,y: 282.904048,theta: -1.710296, gridPosition: x: 0, y: 0'
'worldPose: x: -1.321006,y: 282.904048,theta: -1.710296, gridPosition: x: 0, y: 0'
'worldPose: x: -1.323338,y: 282.894906,theta: -1.711889, gridPosition: x: 0, y: 0'
'worldPose: x: -1.323338,y: 282.894906,theta: -1.711889, gridPosition: x: 0, y: 0'
'worldPose: x: -1.326440,y: 282.883724,theta: -1.715000, gridPosition: x: 0, y: 0'
'worldPose: x: -1.326440,y: 282.883724,theta: -1.715000, gridPosition: x: 0, y: 0'
'worldPose: x: -1.326440,y: 282.883724,theta: -1.715000, gridPosition: x: 0, y: 0'
'worldPose: x: -1.327038,y: 282.875216,theta: -1.717451, gridPosition: x: 0, y: 0'
'worldPose: x: -1.327038,y: 282.875216,theta: -1.717451, gridPosition: x: 0, y: 0'
'worldPose: x: -1.328202,y: 282.866860,theta: -1.717775, gridPosition: x: 0, y: 0'
'worldPose: x: -1.328202,y: 282.866860,theta: -1.717775, gridPosition: x: 0, y: 0'
'worldPose: x: -1.328202,y: 282.866860,theta: -1.717775, gridPosition: x: 0, y: 0'
'worldPose: x: -1.330399,y: 282.856745,theta: -1.718696, gridPosition: x: 0, y: 0'
'worldPose: x: -1.330399,y: 282.856745,theta: -1.718696, gridPosition: x: 0, y: 0'
'worldPose: x: -1.333386,y: 282.846957,theta: -1.722101, gridPosition: x: 0, y: 0'
'worldPose: x: -1.333386,y: 282.846957,theta: -1.722101, gridPosition: x: 0, y: 0'
'worldPose: x: -1.333386,y: 282.846957,theta: -1.722101, gridPosition: x: 0, y: 0'
'worldPose: x: -1.335198,y: 282.836701,theta: -1.724669, gridPosition: x: 0, y: 0'
'worldPose: x: -1.335198,y: 282.836701,theta: -1.724669, gridPosition: x: 0, y: 0'
'worldPose: x: -1.336879,y: 282.824328,theta: -1.727438, gridPosition: x: 0, y: 0'
'worldPose: x: -1.336879,y: 282.824328,theta: -1.727438, gridPosition: x: 0, y: 0'
'worldPose: x: -1.336879,y: 282.824328,theta: -1.727438, gridPosition: x: 0, y: 0'
'worldPose: x: -1.339666,y: 282.812656,theta: -1.728883, gridPosition: x: 0, y: 0'
'worldPose: x: -1.339666,y: 282.812656,theta: -1.728883, gridPosition: x: 0, y: 0'
'worldPose: x: -1.342681,y: 282.800375,theta: -1.731516, gridPosition: x: 0, y: 0'
'worldPose: x: -1.342681,y: 282.800375,theta: -1.731516, gridPosition: x: 0, y: 0'
'worldPose: x: -1.342681,y: 282.800375,theta: -1.731516, gridPosition: x: 0, y: 0'
'worldPose: x: -1.343564,y: 282.791387,theta: -1.733897, gridPosition: x: 0, y: 0'
'worldPose: x: -1.343564,y: 282.791387,theta: -1.733897, gridPosition: x: 0, y: 0'
'worldPose: x: -1.345830,y: 282.781059,theta: -1.735651, gridPosition: x: 0, y: 0'
'worldPose: x: -1.345830,y: 282.781059,theta: -1.735651, gridPosition: x: 0, y: 0'
'worldPose: x: -1.345830,y: 282.781059,theta: -1.735651, gridPosition: x: 0, y: 0'
'worldPose: x: -1.347692,y: 282.772053,theta: -1.738083, gridPosition: x: 0, y: 0'
'worldPose: x: -1.347692,y: 282.772053,theta: -1.738083, gridPosition: x: 0, y: 0'
'worldPose: x: -1.350558,y: 282.761358,theta: -1.739586, gridPosition: x: 0, y: 0'
'worldPose: x: -1.350558,y: 282.761358,theta: -1.739586, gridPosition: x: 0, y: 0'
'worldPose: x: -1.350558,y: 282.761358,theta: -1.739586, gridPosition: x: 0, y: 0'
'worldPose: x: -1.353682,y: 282.750435,theta: -1.742460, gridPosition: x: 0, y: 0'
'worldPose: x: -1.353682,y: 282.750435,theta: -1.742460, gridPosition: x: 0, y: 0'
'worldPose: x: -1.355634,y: 282.739988,theta: -1.745322, gridPosition: x: 0, y: 0'
'worldPose: x: -1.355634,y: 282.739988,theta: -1.745322, gridPosition: x: 0, y: 0'
'worldPose: x: -1.355634,y: 282.739988,theta: -1.745322, gridPosition: x: 0, y: 0'
'worldPose: x: -1.355974,y: 282.730462,theta: -1.746619, gridPosition: x: 0, y: 0'
'worldPose: x: -1.355974,y: 282.730462,theta: -1.746619, gridPosition: x: 0, y: 0'
'worldPose: x: -1.357584,y: 282.722454,theta: -1.747199, gridPosition: x: 0, y: 0'
'worldPose: x: -1.357584,y: 282.722454,theta: -1.747199, gridPosition: x: 0, y: 0'
'worldPose: x: -1.357584,y: 282.722454,theta: -1.747199, gridPosition: x: 0, y: 0'
'worldPose: x: -1.361881,y: 282.711689,theta: -1.749812, gridPosition: x: 0, y: 0'
'worldPose: x: -1.361881,y: 282.711689,theta: -1.749812, gridPosition: x: 0, y: 0'
'worldPose: x: -1.362064,y: 282.703171,theta: -1.752347, gridPosition: x: 0, y: 0'
'worldPose: x: -1.362064,y: 282.703171,theta: -1.752347, gridPosition: x: 0, y: 0'
'worldPose: x: -1.362064,y: 282.703171,theta: -1.752347, gridPosition: x: 0, y: 0'
'worldPose: x: -1.363010,y: 282.691736,theta: -1.753203, gridPosition: x: 0, y: 0'
'worldPose: x: -1.363010,y: 282.691736,theta: -1.753203, gridPosition: x: 0, y: 0'
'worldPose: x: -1.366204,y: 282.680362,theta: -1.754366, gridPosition: x: 0, y: 0'
'worldPose: x: -1.366204,y: 282.680362,theta: -1.754366, gridPosition: x: 0, y: 0'
'worldPose: x: -1.366204,y: 282.680362,theta: -1.754366, gridPosition: x: 0, y: 0'
'worldPose: x: -1.369433,y: 282.669354,theta: -1.756960, gridPosition: x: 0, y: 0'
'worldPose: x: -1.369433,y: 282.669354,theta: -1.756960, gridPosition: x: 0, y: 0'
'worldPose: x: -1.376459,y: 282.645532,theta: -1.761350, gridPosition: x: 0, y: 0'
'worldPose: x: -1.376459,y: 282.645532,theta: -1.761350, gridPosition: x: 0, y: 0'
'worldPose: x: -1.376459,y: 282.645532,theta: -1.761350, gridPosition: x: 0, y: 0'
'worldPose: x: -1.377522,y: 282.635157,theta: -1.762909, gridPosition: x: 0, y: 0'
'worldPose: x: -1.377522,y: 282.635157,theta: -1.762909, gridPosition: x: 0, y: 0'
'worldPose: x: -1.379576,y: 282.625358,theta: -1.764686, gridPosition: x: 0, y: 0'
'worldPose: x: -1.379576,y: 282.625358,theta: -1.764686, gridPosition: x: 0, y: 0'
'worldPose: x: -1.379576,y: 282.625358,theta: -1.764686, gridPosition: x: 0, y: 0'
'worldPose: x: -1.383391,y: 282.614742,theta: -1.766000, gridPosition: x: 0, y: 0'
'worldPose: x: -1.383391,y: 282.614742,theta: -1.766000, gridPosition: x: 0, y: 0'
'worldPose: x: -1.385010,y: 282.603828,theta: -1.768340, gridPosition: x: 0, y: 0'
'worldPose: x: -1.385010,y: 282.603828,theta: -1.768340, gridPosition: x: 0, y: 0'
'worldPose: x: -1.385010,y: 282.603828,theta: -1.768340, gridPosition: x: 0, y: 0'
'worldPose: x: -1.384353,y: 282.606342,theta: -1.769480, gridPosition: x: 0, y: 0'
'worldPose: x: -1.384353,y: 282.606342,theta: -1.769480, gridPosition: x: 0, y: 0'
'worldPose: x: -1.385201,y: 282.596963,theta: -1.771342, gridPosition: x: 0, y: 0'
'worldPose: x: -1.385201,y: 282.596963,theta: -1.771342, gridPosition: x: 0, y: 0'
'worldPose: x: -1.385201,y: 282.596963,theta: -1.771342, gridPosition: x: 0, y: 0'
'worldPose: x: -1.388208,y: 282.585353,theta: -1.772053, gridPosition: x: 0, y: 0'
'worldPose: x: -1.388208,y: 282.585353,theta: -1.772053, gridPosition: x: 0, y: 0'
'worldPose: x: -1.391340,y: 282.574844,theta: -1.773980, gridPosition: x: 0, y: 0'
'worldPose: x: -1.391340,y: 282.574844,theta: -1.773980, gridPosition: x: 0, y: 0'
'worldPose: x: -1.391340,y: 282.574844,theta: -1.773980, gridPosition: x: 0, y: 0'
'worldPose: x: -1.393687,y: 282.566655,theta: -1.776330, gridPosition: x: 0, y: 0'
'worldPose: x: -1.393687,y: 282.566655,theta: -1.776330, gridPosition: x: 0, y: 0'
'worldPose: x: -1.395596,y: 282.557104,theta: -1.777974, gridPosition: x: 0, y: 0'
'worldPose: x: -1.395596,y: 282.557104,theta: -1.777974, gridPosition: x: 0, y: 0'
'worldPose: x: -1.395596,y: 282.557104,theta: -1.777974, gridPosition: x: 0, y: 0'
'worldPose: x: -1.398562,y: 282.549024,theta: -1.779981, gridPosition: x: 0, y: 0'
'worldPose: x: -1.398562,y: 282.549024,theta: -1.779981, gridPosition: x: 0, y: 0'
'worldPose: x: -1.402461,y: 282.537584,theta: -1.782298, gridPosition: x: 0, y: 0'
'worldPose: x: -1.402461,y: 282.537584,theta: -1.782298, gridPosition: x: 0, y: 0'
