'worldPose: x: 11.091078,y: 1.212923,theta: 3.120429, gridPosition: x: 0, y: 0'
'worldPose: x: 11.085870,y: 1.213031,theta: 3.120930, gridPosition: x: 0, y: 0'
'worldPose: x: 11.080661,y: 1.213136,theta: 3.121696, gridPosition: x: 0, y: 0'
'worldPose: x: 11.075459,y: 1.213238,theta: 3.122296, gridPosition: x: 0, y: 0'
'worldPose: x: 11.070249,y: 1.213338,theta: 3.122202, gridPosition: x: 0, y: 0'
'worldPose: x: 11.065044,y: 1.213441,theta: 3.121695, gridPosition: x: 0, y: 0'
'worldPose: x: 11.059839,y: 1.213545,theta: 3.121338, gridPosition: x: 0, y: 0'
'worldPose: x: 11.054627,y: 1.213652,theta: 3.121135, gridPosition: x: 0, y: 0'
'worldPose: x: 11.049346,y: 1.213760,theta: 3.121081, gridPosition: x: 0, y: 0'
'worldPose: x: 11.044213,y: 1.213864,theta: 3.121328, gridPosition: x: 0, y: 0'
'worldPose: x: 11.039004,y: 1.213968,theta: 3.121920, gridPosition: x: 0, y: 0'
'worldPose: x: 11.033800,y: 1.214069,theta: 3.122252, gridPosition: x: 0, y: 0'
'worldPose: x: 11.028588,y: 1.214170,theta: 3.121977, gridPosition: x: 0, y: 0'
'worldPose: x: 11.023383,y: 1.214274,theta: 3.121318, gridPosition: x: 0, y: 0'
'worldPose: x: 11.018138,y: 1.214381,theta: 3.120899, gridPosition: x: 0, y: 0'
'worldPose: x: 11.012971,y: 1.214489,theta: 3.120632, gridPosition: x: 0, y: 0'
'worldPose: x: 11.007761,y: 1.214598,theta: 3.120715, gridPosition: x: 0, y: 0'
'worldPose: x: 11.002558,y: 1.214705,theta: 3.121274, gridPosition: x: 0, y: 0'
'worldPose: x: 10.997347,y: 1.214808,theta: 3.122109, gridPosition: x: 0, y: 0'
'worldPose: x: 10.992138,y: 1.214907,theta: 3.122661, gridPosition: x: 0, y: 0'
'worldPose: x: 10.986929,y: 1.215006,theta: 3.122530, gridPosition: x: 0, y: 0'
'worldPose: x: 10.981728,y: 1.215106,theta: 3.121893, gridPosition: x: 0, y: 0'
'worldPose: x: 10.976518,y: 1.215210,theta: 3.121397, gridPosition: x: 0, y: 0'
'worldPose: x: 10.971308,y: 1.215315,theta: 3.121371, gridPosition: x: 0, y: 0'
'worldPose: x: 10.966102,y: 1.215420,theta: 3.121664, gridPosition: x: 0, y: 0'
'worldPose: x: 10.960898,y: 1.215521,theta: 3.122250, gridPosition: x: 0, y: 0'
'worldPose: x: 10.955689,y: 1.215619,theta: 3.122995, gridPosition: x: 0, y: 0'
'worldPose: x: 10.950483,y: 1.215715,theta: 3.123280, gridPosition: x: 0, y: 0'
'worldPose: x: 10.945273,y: 1.215811,theta: 3.122844, gridPosition: x: 0, y: 0'
'worldPose: x: 10.940069,y: 1.215911,theta: 3.122069, gridPosition: x: 0, y: 0'
