'worldPose: x: 105.898558,y: 61.887225,theta: 1.544860, gridPosition: x: 0, y: 0'
'worldPose: x: 105.899346,y: 61.918467,theta: 1.546005, gridPosition: x: 0, y: 0'
'worldPose: x: 105.899972,y: 61.944511,theta: 1.547336, gridPosition: x: 0, y: 0'
'worldPose: x: 105.900555,y: 61.970520,theta: 1.549127, gridPosition: x: 0, y: 0'
'worldPose: x: 105.901099,y: 61.996676,theta: 1.550418, gridPosition: x: 0, y: 0'
'worldPose: x: 105.901617,y: 62.022591,theta: 1.551134, gridPosition: x: 0, y: 0'
'worldPose: x: 105.899845,y: 62.055061,theta: 1.552525, gridPosition: x: 0, y: 0'
'worldPose: x: 105.900004,y: 62.081939,theta: 1.554353, gridPosition: x: 0, y: 0'
'worldPose: x: 105.900405,y: 62.107953,theta: 1.555998, gridPosition: x: 0, y: 0'
'worldPose: x: 105.900774,y: 62.133973,theta: 1.556915, gridPosition: x: 0, y: 0'
'worldPose: x: 105.901129,y: 62.160047,theta: 1.557297, gridPosition: x: 0, y: 0'
'worldPose: x: 105.901366,y: 62.186068,theta: 1.562954, gridPosition: x: 0, y: 0'
'worldPose: x: 105.901559,y: 62.212158,theta: 1.563810, gridPosition: x: 0, y: 0'
'worldPose: x: 105.901719,y: 62.238170,theta: 1.565125, gridPosition: x: 0, y: 0'
'worldPose: x: 105.901846,y: 62.264209,theta: 1.566557, gridPosition: x: 0, y: 0'
'worldPose: x: 105.888799,y: 62.303559,theta: 1.568571, gridPosition: x: 0, y: 0'
'worldPose: x: 105.888832,y: 62.332015,theta: 1.570299, gridPosition: x: 0, y: 0'
'worldPose: x: 105.888829,y: 62.358768,theta: 1.571237, gridPosition: x: 0, y: 0'
'worldPose: x: 105.888805,y: 62.386321,theta: 1.572048, gridPosition: x: 0, y: 0'
'worldPose: x: 105.888756,y: 62.412920,theta: 1.573076, gridPosition: x: 0, y: 0'
'worldPose: x: 105.888678,y: 62.438957,theta: 1.574247, gridPosition: x: 0, y: 0'
'worldPose: x: 105.888565,y: 62.466065,theta: 1.575444, gridPosition: x: 0, y: 0'
'worldPose: x: 105.888418,y: 62.492801,theta: 1.576931, gridPosition: x: 0, y: 0'
'worldPose: x: 105.869867,y: 62.522280,theta: 1.571842, gridPosition: x: 0, y: 0'
'worldPose: x: 105.869807,y: 62.548270,theta: 1.573869, gridPosition: x: 0, y: 0'
